,City,Nickname,Province,Sex,Signature
0,,li-学振,,1,"a thoughtful boy <span class=""emoji emoji1f33f""></span>"
1,,李尧,,1,
2,,Lee,北京,1,
3,,菜生,,1,像猴哥一样工作，像八戒一样玩乐
4,济南,🌟上帝爱你i,山东,1,
5,运城,鸽子,山西,2,谁的等待～恰逢花开
6,淄博,国睿,山东,1,山东理工大学
7,,ZCY,,1,
8,聊城,越然,山东,1,生命不止，奋斗不息，，，，，
9,临沂,一枝独秀,山东,1,坚持做一件事～
10,海淀,俊扬,北京,1,
11,聊城,自强,山东,1,仰望星空，脚踏实地
12,蚌埠,少年以梦为马，归来不负韶华。,安徽,1,待我半生戎马，许你共话桑麻
13,青岛,田光磊,山东,1,白日不到处，青春恰自来。苔花如米小，也学牡丹开
14,,哈哈哈,山东,1,
15,,专注数学建模教育,,0,诚信经营
16,临沂,๓₯㎕，岁月,山东,1,
17,,柚^_^子啊,北京,2,在北京扎根，坚持工作赚钱养家，勤奋好学努力从我做起
18,乌兰察布,不会飞的鸟,内蒙古,1,
19,威海,阿Sir,山东,1,有对象，比你美～
20,淄博,齐村生,山东,1,
21,临沂,尚京城,山东,1,"走在一起是缘分,一起在走才是幸福"
22,,阿里爸爸,,0,
23,朝阳,北工大正版刘功起,北京,1,先定个小目标：三年后买个iPhone 6s
24,成都,Libra,四川,1,敏于行而讷于言
25,济南,蜗牛,山东,1,
26,阿克苏,大熊,新疆,1,
27,海淀,Chierush,北京,1,
28,滨州,激战黎明,山东,1,
29,,HHZ,,1,
30,娄底,自由,湖南,0,简单，坚持，自信
31,,小花,,2,我就是喜欢吃个肉而已。开心就好。可是好难。
32,海淀,KEVIN,北京,1,一直和爽走！
33,临沂,麦道Ren,山东,2,心中有党
34,青岛,Super S😳。,山东,2,哀莫大于心死。
35,烟台,柳翊平,山东,1,
36,朝阳,海玉,北京,2,一如既往
37,滨海新区,小君,天津,2,加油！
38,枣庄,乌龟快爬,山东,1,停止的沙漏
39,聊城,Source Of Power,山东,1,如果觉得自己是个优秀的人，那么就应该做一些优秀的事情！
40,淄博,高勇,山东,1,
41,石景山,Sydney,北京,2,May the force be with me🖖 ​​​
42,济南,逍遥,山东,1,淡薄明志宁静致远
43,海淀,James Bond,北京,1,行胜于言  无问西东
44,菏泽,董春阳,山东,1,
45,大兴,德隆客栈,北京,1,"放松不放纵
忙碌不盲目"
46,,Sugar,,1,
47,,若尘,,1,爱恋伊爱恋伊
48,德州,清风小哥,山东,1,并不时常想起，但却无处不在
49,,赵廷,,2,
50,西安,张豪,陕西,1,韬光养晦
51,青岛,the only problem,山东,1,15689075713   既许一人以偏爱 愿尽余生之慷慨
52,东城,全全全在路上,北京,1,内容媒体人，长期保持对互联网及区块链行业观察。
53,,aliasese,北京,1,
54,潍坊,孙祥博,山东,1,
55,烟台,破晓,山东,1,
56,,麒麟,Burgenland,1,
57,济宁,一壶白开水,山东,1,
58,青岛,周宁,山东,1,
